"","status_id","created_at","text","source","is_quote","is_retweet","retweet_count","favorite_count","quoted_name"
"ArianaGrande.1","1069313340529209344",2018-12-02 19:32:21,"next tat https://t.co/WryqtSUqkh","Twitter for iPhone",TRUE,FALSE,2890,44910,"nicole 27"
"ArianaGrande.2","1069309763127717888",2018-12-02 19:18:09,"🖤 https://t.co/2wzXm6BxoU","Twitter for iPhone",FALSE,FALSE,4708,26739,NA
"ArianaGrande.3","1069307872985591808",2018-12-02 19:10:38,"yooooo https://t.co/eR5WCwkCIC","Twitter for iPhone",TRUE,FALSE,4412,56252,"martina"
"ArianaGrande.4","1069303556514078720",2018-12-02 18:53:29,"🖤 https://t.co/n6cqmK873v","Twitter for iPhone",TRUE,FALSE,2281,27771,"torin"
"ArianaGrande.5","1069302823651762176",2018-12-02 18:50:34,"i- https://t.co/E4OrVSN0YZ","Twitter Web Client",TRUE,FALSE,4967,53850,"ingrid"
"ArianaGrande.6","1069301243615436805",2018-12-02 18:44:17,"🖤 https://t.co/6PRc6hFzBZ","Twitter for iPhone",TRUE,FALSE,1693,20428,"Alfredo Flores"
"ArianaGrande.7","1069299711624892416",2018-12-02 18:38:12,"🖤 @Vevo https://t.co/CXODl8lrmG","Twitter for iPhone",TRUE,FALSE,2730,31869,"Nyle DiMarco"
"ArianaGrande.8","1069299259835527169",2018-12-02 18:36:24,"@NyleDiMarco @Vevo 🖤 @Vevo this is such a dope idea! please see this!","Twitter for iPhone",FALSE,FALSE,750,8409,NA
"ArianaGrande.9","1069297952051486720",2018-12-02 18:31:13,"soon as possible. uploading now. luh u. https://t.co/nuC9FK6tLz","Twitter for iPhone",TRUE,FALSE,2670,41959,"ㅤَkat"
"ArianaGrande.10","1069296402553917440",2018-12-02 18:25:03,"thanks, luke skywalker. i’m gonna go sob in a corner and watch all your movies again now. have a good one. https://t.co/efTQ9yWSK4","Twitter for iPhone",TRUE,FALSE,17950,243687,"Mark Hamill"
"ArianaGrande.11","1069165344483233792",2018-12-02 09:44:16,"🖤 https://t.co/Z3duncoUlu","Twitter for iPhone",FALSE,FALSE,27917,206405,NA
"ArianaGrande.12","1069094847032619008",2018-12-02 05:04:09,"@grandethegod issa reach lol","Twitter for iPhone",FALSE,FALSE,394,4729,NA
"ArianaGrande.13","1069080182823079937",2018-12-02 04:05:52,"he jus got here. we on it tho. love u. https://t.co/AbDLZ9Y1vs","Twitter for iPhone",TRUE,FALSE,2422,39917,"adriana🖤"
"ArianaGrande.14","1069073902037417985",2018-12-02 03:40:55,"aaaah i’m sorry. we’ll get it to you by the morning. promise. https://t.co/kBDozlwS61","Twitter for iPhone",TRUE,FALSE,4003,65687,"louna"
"ArianaGrande.15","1069045354006364160",2018-12-02 01:47:28,"we should give them behind the scenes part one to celebrate @alfredoflores 🖤 https://t.co/zAl5eG8LgJ","Twitter for iPhone",TRUE,FALSE,5964,66770,"Ariana World News"
"ArianaGrande.16","1069044063226089472",2018-12-02 01:42:21,"🖤 https://t.co/wNDQR3gGHu","Twitter for iPhone",TRUE,FALSE,2474,30681,"HANNAH LUX DAVIS"
"ArianaGrande.17","1069030469579137024",2018-12-02 00:48:20,"but still, fuck that","Twitter for iPhone",FALSE,FALSE,58102,247653,NA
"ArianaGrande.18","1069030188854333440",2018-12-02 00:47:13,"true love might exist i was just hungry","Twitter for iPhone",FALSE,FALSE,93568,477038,NA
"ArianaGrande.19","1068958278334349312",2018-12-01 20:01:28,"i love u @hannahluxdavis 🖤 https://t.co/t5bgDovd0T","Twitter for iPhone",FALSE,FALSE,5098,64131,NA
"ArianaGrande.20","1068953083458158592",2018-12-01 19:40:49,"no she’s not kidding. they looked ROUGH. https://t.co/3zEJzCfysV","Twitter for iPhone",TRUE,FALSE,5810,91122,"Elizabeth Gillies"
"ArianaGrande.21","1068940323609432064",2018-12-01 18:50:07,"mishu. can we do it again. https://t.co/WUjdMPqDq2","Twitter for iPhone",TRUE,FALSE,2102,30128,"NJOMZA"
"ArianaGrande.22","1068934199032217600",2018-12-01 18:25:47,"@littIebitneedy i think like the day after maybe. not sure.","Twitter for iPhone",FALSE,FALSE,424,5245,NA
"ArianaGrande.23","1068932571843637248",2018-12-01 18:19:19,"@nexthankyou nope","Twitter Web Client",FALSE,FALSE,470,5861,NA
"ArianaGrande.24","1068932309263429632",2018-12-01 18:18:16,"p.s. we set a new @vevo record. that's wild. i love u. thank u.","Twitter Web Client",FALSE,FALSE,12418,127814,NA
"ArianaGrande.25","1068931642650062848",2018-12-01 18:15:38,"🖤 https://t.co/ETEyao9BxA","Twitter for iPhone",TRUE,FALSE,1796,23911,"day"
"ArianaGrande.26","1068931576887574533",2018-12-01 18:15:22,"indeed https://t.co/0vVzApX4Uw","Twitter for iPhone",FALSE,FALSE,2480,32932,NA
"ArianaGrande.27","1068931506217734145",2018-12-01 18:15:05,"i would really like u to hear that next https://t.co/CNJQbEjDwc","Twitter for iPhone",TRUE,FALSE,2394,29464,"alexa"
"ArianaGrande.28","1068931259043205120",2018-12-01 18:14:06,"well ............. ‘twas a pretty rough day in nyc. my friends took me to tiffany’s. we had too much champagne. i bought us all rings. 💍 it was very insane and funny. &amp; on the way back to the stu njomza was like ‘bitch, this gotta be a song lol’. so we wrote it that afternoon. https://t.co/CoczmPj1Fo","Twitter for iPhone",TRUE,FALSE,7120,95406,"thank u, next"
"ArianaGrande.29","1068930022059065344",2018-12-01 18:09:11,"🖤 https://t.co/UIHgeSf1eG","Twitter for iPhone",TRUE,FALSE,1756,23375,"brandon"
"ArianaGrande.30","1068929900856279040",2018-12-01 18:08:42,"me, vic, courtney, alexa, tayla, njomza, kaydence (and my mom and nonna so technically nine but they got theirs after song was done) https://t.co/y6G9HGQTh4","Twitter for iPhone",TRUE,FALSE,2916,32918,"𝐥𝐢𝐥𝐲"
"ArianaGrande.31","1068929611348631552",2018-12-01 18:07:33,"okay https://t.co/yAk2wyAyiX","Twitter for iPhone",TRUE,FALSE,1936,24214,"мegan 轉"
"ArianaGrande.32","1068929398533894144",2018-12-01 18:06:43,"yes but i keep writing things i want to add https://t.co/unnpd2PqbW","Twitter for iPhone",TRUE,FALSE,3142,39460,"tina"
"ArianaGrande.33","1068929286118076416",2018-12-01 18:06:16,"thank u https://t.co/c1Up1i77fS","Twitter for iPhone",TRUE,FALSE,3867,50931,"aid"
"ArianaGrande.34","1068928999601004544",2018-12-01 18:05:07,"my boys 👱🏻‍♂️👱🏻‍♂️ https://t.co/7z4FmXnhr1","Twitter for iPhone",TRUE,FALSE,1993,28296,"hannah"
"ArianaGrande.35","1068928888141561856",2018-12-01 18:04:41,"seven rings https://t.co/WbinEBeaux","Twitter for iPhone",TRUE,FALSE,3537,41130,"gяαи∂є мιχ"
"ArianaGrande.36","1068928541851451392",2018-12-01 18:03:18,"man shut up https://t.co/djUiXAZWnK","Twitter for iPhone",TRUE,FALSE,4538,51569,"sakina"
"ArianaGrande.37","1068928486138494976",2018-12-01 18:03:05,"mhmm @tbhits https://t.co/aQI6vjnP9X","Twitter for iPhone",TRUE,FALSE,2108,27044,"anne"
"ArianaGrande.38","1068928423509127169",2018-12-01 18:02:50,"hannah. one of my favorite details. so special. https://t.co/YOQ7rCwBc2","Twitter for iPhone",TRUE,FALSE,2986,40006,"ingrid"
"ArianaGrande.39","1068928170785595392",2018-12-01 18:01:50,"phenomenal https://t.co/wCYH7RfwQR","Twitter for iPhone",TRUE,FALSE,2301,26385,"anita"
"ArianaGrande.40","1068928086236835840",2018-12-01 18:01:30,"thank u, my love https://t.co/3NmPx4teRk","Twitter for iPhone",TRUE,FALSE,1913,25657,"￼"
"ArianaGrande.41","1068928005441875968",2018-12-01 18:01:10,"so fun. she was so full out and nice to everybody and i want her and my mom to be besties. they were so cute interacting. just two adorable, powerful, pink &amp; black dots before my blurry, excited eyes. https://t.co/gfIX8Jc0Ky","Twitter for iPhone",TRUE,FALSE,2579,29364,"daisy"
"ArianaGrande.42","1068927546434048000",2018-12-01 17:59:21,"me 😇 https://t.co/g6nkHa7vot","Twitter for iPhone",TRUE,FALSE,4366,55421,"talin"
"ArianaGrande.43","1068927440133582848",2018-12-01 17:58:56,"i know. but i think the song i’d like you to hear next is ‘Imagine’. not sure when but that’s what i’m thinkin. https://t.co/vbFcPZVMFD","Twitter for iPhone",TRUE,FALSE,4046,41404,"mel"
"ArianaGrande.44","1068927227037794304",2018-12-01 17:58:05,"three fun ass days https://t.co/yoj35ZjQ7O","Twitter for iPhone",TRUE,FALSE,2137,29735,"lindsey"
"ArianaGrande.45","1068927177964449792",2018-12-01 17:57:53,"🖤 https://t.co/8JE0JUAKB5","Twitter for iPhone",TRUE,FALSE,3039,35441,"twins"
"ArianaGrande.46","1068926915250053120",2018-12-01 17:56:50,"oh absolutely not https://t.co/zt0J1iiuLH","Twitter for iPhone",TRUE,FALSE,4406,38615,"sky"
"ArianaGrande.47","1068926580515201024",2018-12-01 17:55:31,"incredible. also, terrifying. https://t.co/xYF1u8mWUd","Twitter for iPhone",TRUE,FALSE,3670,45405,"jessica ツ"
"ArianaGrande.48","1068926446565941248",2018-12-01 17:54:59,"dude i cant wait to show you the behind the scenes / bloopers or whatever. he made the cutest / funniest sound when i pushed him, i almost passed out. i love him so much. https://t.co/ur6a5361Wl","Twitter for iPhone",TRUE,FALSE,6987,84650,"em"
"ArianaGrande.49","1068925991702081536",2018-12-01 17:53:10,"relax https://t.co/IHrfZ6eskj","Twitter for iPhone",TRUE,FALSE,1798,24053,"ɐʇᴉdnl"
"ArianaGrande.50","1068925847703175168",2018-12-01 17:52:36,"that’s ............. the wildest shit i’ve ever heard. https://t.co/PwW3GuNl3A","Twitter for iPhone",TRUE,FALSE,3382,40614,"pame"
"ArianaGrande.51","1068925640542347267",2018-12-01 17:51:47,"thank u. i’m kind of still waking up so i feel like i may be dreaming all of this / i’m scared to acknowledge it or say anything yet. but man, this is wild. thank u so much. https://t.co/4WoR1Hhokb","Twitter for iPhone",TRUE,FALSE,3483,40172,"jazzy"
"ArianaGrande.52","1068925099867172864",2018-12-01 17:49:38,"shut up https://t.co/5WNtPnyYJx","Twitter for iPhone",TRUE,FALSE,2449,32635,"georgialovesariana♡"
"ArianaGrande.53","1068924342690439168",2018-12-01 17:46:37,"today's dilemma: i want to make @krisjenner saying 'thank u, next, bitch' my text tone but i don't know how. sos.","Twitter Web Client",FALSE,FALSE,16559,167097,NA
"ArianaGrande.54","1068915517786714112",2018-12-01 17:11:33,"aaare u down for some of these milk n cookies","Twitter Web Client",FALSE,FALSE,24866,198547,NA
"ArianaGrande.55","1068908747299291137",2018-12-01 16:44:39,"hello december https://t.co/T2syuJznC9","Twitter Web Client",FALSE,FALSE,59618,277978,NA
"ArianaGrande.56","1068768080484982784",2018-12-01 07:25:41,"nmw https://t.co/UmkQJHAoRC","Twitter for iPhone",TRUE,FALSE,2514,33577,"e ♡"
"ArianaGrande.57","1068767801299456002",2018-12-01 07:24:35,"jus call me https://t.co/r08tEqvfcB","Twitter for iPhone",TRUE,FALSE,3083,39556,"mona"
"ArianaGrande.58","1068767663336284160",2018-12-01 07:24:02,"that is ........ wild. thank u so much. https://t.co/jXoz8zrsgb","Twitter for iPhone",TRUE,FALSE,17488,249084,"Ariana Grande Today"
"ArianaGrande.59","1068766710562402305",2018-12-01 07:20:15,"my sweetest lil tings https://t.co/u9ALnIFnbf","Twitter for iPhone",TRUE,FALSE,2489,33346,"breanna"
"ArianaGrande.60","1068766414163476481",2018-12-01 07:19:04,"funny how things can be so up and down in the same instance","Twitter for iPhone",FALSE,FALSE,40914,182339,NA
"ArianaGrande.61","1068766129252790274",2018-12-01 07:17:56,"i love u","Twitter for iPhone",FALSE,FALSE,46107,266432,NA
"ArianaGrande.62","1068759083937804289",2018-12-01 06:49:56,"🖤 https://t.co/y4FkGuqbOM","Twitter for iPhone",TRUE,FALSE,3553,47794,"jon"
"ArianaGrande.63","1068709304092389377",2018-12-01 03:32:08,"@chrissyteigen happy birthday ily","Twitter for iPhone",FALSE,FALSE,885,25593,NA
"ArianaGrande.64","1068671656070012929",2018-12-01 01:02:32,"no https://t.co/ST0CVnWPW1","Twitter Web Client",TRUE,FALSE,6644,58675,"Iize"
"ArianaGrande.65","1068671375685038081",2018-12-01 01:01:25,"one more time. i'll log out now. i can't handle this shit. https://t.co/PPEzPP3Gsb","Twitter Web Client",TRUE,FALSE,6115,84890,"Mark Ruffalo"
"ArianaGrande.66","1068671247188340738",2018-12-01 01:00:54,"jennifer's post guys i......... help me.","Twitter Web Client",FALSE,FALSE,7012,110857,NA
"ArianaGrande.67","1068668094728400896",2018-12-01 00:48:23,"🖤 https://t.co/SfK6EqFJMZ","Twitter Web Client",TRUE,FALSE,4800,56986,"Kris Jenner"
"ArianaGrande.68","1068666654421184512",2018-12-01 00:42:39,"got so much love","Twitter for iPhone",FALSE,FALSE,57037,305265,NA
"ArianaGrande.69","1068665739152777216",2018-12-01 00:39:01,"ugh i love u https://t.co/aCznJO3OCQ","Twitter Web Client",TRUE,FALSE,2512,32553,"ZACHARY CAMPBELL"
"ArianaGrande.70","1068651298235371521",2018-11-30 23:41:38,"🖤 https://t.co/1DZ9wCZQxg","Twitter for iPhone",TRUE,FALSE,7897,103117,"troye"
"ArianaGrande.71","1068649344713220096",2018-11-30 23:33:52,"omg we tried to put our own twist on it so legal wouldn’t come for us but THANK U. this is the biggest honor. love u more than words. 🖤 https://t.co/BKHjCgS9jk","Twitter for iPhone",TRUE,FALSE,9561,132880,"Reese Witherspoon"
"ArianaGrande.72","1068644479475757056",2018-11-30 23:14:33,"oh........ my god. https://t.co/SBqE6yelSg","Twitter for iPhone",TRUE,FALSE,42838,401318,"ems"
"ArianaGrande.73","1068644326291324929",2018-11-30 23:13:56,"i’m still looking at this https://t.co/oBTFldr2v5","Twitter for iPhone",TRUE,FALSE,4671,66039,"Mark Ruffalo"
"ArianaGrande.74","1068644239456620545",2018-11-30 23:13:35,"🖤 https://t.co/W77pcFJiWd","Twitter for iPhone",TRUE,FALSE,2295,28002,"Vogue Magazine"
"ArianaGrande.75","1068643992932278272",2018-11-30 23:12:37,"alexa truly bodied miss karen smith. like in every shot. her first acting role was a big success in my book. @alexaluria brava, sis. https://t.co/0iSf01p9UF","Twitter for iPhone",TRUE,FALSE,5088,55438,"ᥱᥣᥣᥱ."
"ArianaGrande.76","1068642994717306880",2018-11-30 23:08:39,"that’s hard https://t.co/Cn8iS0mDyt","Twitter for iPhone",TRUE,FALSE,4895,57837,"Team YouTube"
"ArianaGrande.77","1068634145352339456",2018-11-30 22:33:29,"thank u, next. i’m tryna hang w the sexually active band geeks. https://t.co/KKFdjSqLjJ","Twitter for iPhone",TRUE,FALSE,43175,393621,"Mean Girls"
"ArianaGrande.78","1068621681118212096",2018-11-30 21:43:57,"https://t.co/w4dN81BBCN… 🖤 https://t.co/poiaSTj55C","Twitter for iPhone",FALSE,FALSE,13559,90097,NA
"ArianaGrande.79","1068611445322002432",2018-11-30 21:03:17,"https://t.co/dqiANr818b 🖤 https://t.co/F5iVQcsBxQ","Twitter Web Client",FALSE,FALSE,35465,140222,NA
"ArianaGrande.80","1068606284788772864",2018-11-30 20:42:46,"*sobs uncontrollably* https://t.co/PPEzPP3Gsb","Twitter Web Client",TRUE,FALSE,15937,196956,"Mark Ruffalo"
"ArianaGrande.81","1068595627980873728",2018-11-30 20:00:25,"#thankunextvideo out now https://t.co/g12C0vVini 🖤 https://t.co/ASST9rmWLs","Twitter Web Client",FALSE,FALSE,155825,391621,NA
"ArianaGrande.82","1068592202010394624",2018-11-30 19:46:49,"🖤 https://t.co/ylpvkGRgud","Twitter Web Client",TRUE,FALSE,2358,30808,"ingrid"
"ArianaGrande.83","1068591515755114496",2018-11-30 19:44:05,"thank u https://t.co/8iKCRgOgdG","Twitter for iPhone",TRUE,FALSE,3054,40448,"Victoria Monét"
"ArianaGrande.84","1068583626130878464",2018-11-30 19:12:44,"Hello @vevo @youtube can we have the #thankunextvideo early please? Anele needs to go to sleep. Let us know what you can do please. Thank you so much. https://t.co/7jOsMXPPM7","Twitter Web Client",TRUE,FALSE,8627,78385,"anele"
"ArianaGrande.85","1068583327731306496",2018-11-30 19:11:33,"this makes me SO happy. love u. https://t.co/WxofztfsN7","Twitter Web Client",TRUE,FALSE,3276,33873,"felipe"
"ArianaGrande.86","1068583182528704513",2018-11-30 19:10:58,"i wanna be regina everyday https://t.co/nbyfTEmGc8","Twitter Web Client",TRUE,FALSE,10592,131795,"𝐥𝐢𝐥𝐲"
"ArianaGrande.87","1068583035308728320",2018-11-30 19:10:23,"i'm here love u https://t.co/dI7HXeEiir","Twitter Web Client",TRUE,FALSE,2079,25544,"𝐣𝐞𝐧𝐧𝐚"
"ArianaGrande.88","1068582928215502849",2018-11-30 19:09:58,"love u lmao https://t.co/db6LlHx1cl","Twitter Web Client",TRUE,FALSE,2067,26581,"♡"
"ArianaGrande.89","1068579914901680128",2018-11-30 18:57:59,"chat &amp; countdown here https://t.co/g12C0vVini","Twitter Web Client",FALSE,FALSE,5654,34630,NA
"ArianaGrande.90","1068579828608237571",2018-11-30 18:57:39,"1 hour https://t.co/rVqxQNiSk8","Twitter for iPhone",FALSE,FALSE,20495,164438,NA
"ArianaGrande.91","1068566425369858048",2018-11-30 18:04:23,"https://t.co/cfGtff8X41","Twitter for iPhone",FALSE,FALSE,16475,135730,NA
"ArianaGrande.92","1068564597316059136",2018-11-30 17:57:07,"🖤 https://t.co/IlkRGoCACS","Twitter for iPhone",TRUE,FALSE,2608,30590,"ingrid"
"ArianaGrande.93","1068559677036814337",2018-11-30 17:37:34,"sick. can i drop another song after this i’m bored. https://t.co/oKHiSxSF0D","Twitter for iPhone",TRUE,FALSE,34102,357561,"Scooter Braun"
"ArianaGrande.94","1068552555691556864",2018-11-30 17:09:16,"❄️ https://t.co/0kEOBflvVn","Twitter for iPhone",FALSE,FALSE,22990,181594,NA
"ArianaGrande.95","1068551135294681088",2018-11-30 17:03:38,"🖤 https://t.co/65TJrfUJni","Twitter for iPhone",FALSE,FALSE,1462,18204,NA
"ArianaGrande.96","1068550926581919746",2018-11-30 17:02:48,"yeah man. shits been wild. thank god for u. for my friends. for music. https://t.co/rkq6KeOXLL","Twitter for iPhone",TRUE,FALSE,2852,33003,"isla"
"ArianaGrande.97","1068548946065219584",2018-11-30 16:54:56,"she’s italian. so y’all honorary italian. https://t.co/A0vkTkeJAx","Twitter for iPhone",TRUE,FALSE,3141,36454,"mahmoud"
"ArianaGrande.98","1068548455021199360",2018-11-30 16:52:59,"love u &amp; can’t wait to see u https://t.co/UvdsTmE5e8","Twitter for iPhone",TRUE,FALSE,1974,24484,"Iize"
"ArianaGrande.99","1068548135398473728",2018-11-30 16:51:42,"a lil over five minutes. we couldn’t fit all of the set ups in so we’re gonna have to get u a directors cut at some point or a blooper reel or sum. https://t.co/HPcH2UAiaI","Twitter for iPhone",TRUE,FALSE,4188,51640,"."
"ArianaGrande.100","1068547307224805376",2018-11-30 16:48:25,"love u more always https://t.co/QA71yojQX3","Twitter for iPhone",TRUE,FALSE,1981,23494,"mari"
"ArianaGrande.101","1068545190565109760",2018-11-30 16:40:00,"🖤 https://t.co/9cVCCKYYfZ","Twitter for iPhone",TRUE,FALSE,2162,26197,"twins"
"ArianaGrande.102","1068544722518458368",2018-11-30 16:38:09,"no snippets https://t.co/dsQk2QTvkX","Twitter for iPhone",TRUE,FALSE,1987,26455,"leah"
"ArianaGrande.103","1068544577164857345",2018-11-30 16:37:34,"love u ! what’s your fav part? https://t.co/Ocs5TILg5E","Twitter for iPhone",TRUE,FALSE,1927,24307,"naj ✨/ tysm ari"
"ArianaGrande.104","1068544021654458369",2018-11-30 16:35:22,"omg https://t.co/0VwP2nRRcn","Twitter for iPhone",TRUE,FALSE,2048,26576,"jorjana"
"ArianaGrande.105","1068543366172819456",2018-11-30 16:32:45,"beyond. hannah and her team truly outdid themselves and so did all my friends. i'm lucky as fuck. https://t.co/ncMBgKL9A7","Twitter Web Client",TRUE,FALSE,2362,29184,"karla 🖤"
"ArianaGrande.106","1068543165013970945",2018-11-30 16:31:57,"you're so cute. i'm having a smoothie and a coffee. have YOU? https://t.co/2EmiH2gy0J","Twitter Web Client",TRUE,FALSE,2890,42405,"𝐀𝐏𝐄𝐒**𝐓"
"ArianaGrande.107","1068542472052068353",2018-11-30 16:29:12,"i’ll keep u company for a little while 🖤 https://t.co/kZ7UEIBUSS","Twitter for iPhone",TRUE,FALSE,2222,27314,"𝘤𝘭𝘢𝘳𝘢 ★"
"ArianaGrande.108","1068542083684651008",2018-11-30 16:27:39,"yee https://t.co/kaTIXwitDr","Twitter for iPhone",TRUE,FALSE,2054,24036,"daniela"
"ArianaGrande.109","1068541736761184256",2018-11-30 16:26:17,"now u know all i do is spoil and love your asses twenty four seven so take it back immediately https://t.co/KrlMZMpb5N","Twitter for iPhone",TRUE,FALSE,3994,46809,"adri"
"ArianaGrande.110","1068541518711930880",2018-11-30 16:25:25,"when they’re the ones who made up the release time i- https://t.co/IY2uTFaGPK","Twitter for iPhone",TRUE,FALSE,2190,26173,"richie"
"ArianaGrande.111","1068541183859744768",2018-11-30 16:24:05,"i jus woke UP I SAID SOMETHING AS SOON AS I SAW ..... goodbye https://t.co/ZlMLKHaHQ2","Twitter for iPhone",TRUE,FALSE,2405,31987,"marzia"
"ArianaGrande.112","1068540709920169984",2018-11-30 16:22:12,"♡ https://t.co/j8pSasKnLm","Twitter Web Client",TRUE,FALSE,3688,34310,"iHeartRadio"
"ArianaGrande.113","1068539113966424065",2018-11-30 16:15:51,"she’s coming she’s coming. love y’all. https://t.co/JCGADYJAQg","Twitter for iPhone",TRUE,FALSE,4213,43567,"𝐦𝐚𝐫𝐢𝐚 𝐣𝐞𝐬𝐮𝐬"
"ArianaGrande.114","1068538997985570816",2018-11-30 16:15:24,"sheesh. thank u. https://t.co/56FJvHmF7c","Twitter for iPhone",TRUE,FALSE,15673,241853,"Rene"
"ArianaGrande.115","1068538789675524096",2018-11-30 16:14:34,"i luh u https://t.co/PNpAfLucuj","Twitter for iPhone",TRUE,FALSE,2404,28130,"THE HOOD ORACLE"
"ArianaGrande.116","1068535903692308480",2018-11-30 16:03:06,"noon pst / 3 est ♡","Twitter Web Client",FALSE,FALSE,11599,101977,NA
"ArianaGrande.117","1068223496579297280",2018-11-29 19:21:42,"thank u, next - music video tomorrow. behind the scenes preview. https://t.co/7uMNX59I7f https://t.co/LJ1gsshNSo","Twitter Web Client",FALSE,FALSE,17731,85683,NA
"ArianaGrande.118","1068216659872178176",2018-11-29 18:54:32,"i- https://t.co/5t0TGmF4Uh","Twitter for iPhone",TRUE,FALSE,2346,34337,"danιque"
"ArianaGrande.119","1068216436844244992",2018-11-29 18:53:39,"today is a DAY https://t.co/Dc12mKgZ4w","Twitter for iPhone",TRUE,FALSE,2424,30503,"marie"
"ArianaGrande.120","1068216341742575616",2018-11-29 18:53:17,"bitch it’s uploading breathe https://t.co/aWPJdgfTso","Twitter for iPhone",TRUE,FALSE,39103,375223,"(not) jin"
"ArianaGrande.121","1068216181742436352",2018-11-29 18:52:38,"@VictoriaMonet lashes n diamonds ATM machineeees","Twitter for iPhone",FALSE,FALSE,806,7688,NA
"ArianaGrande.122","1068212112030294017",2018-11-29 18:36:28,"we're not going to put all of the set ups in the sneak peek tho because we don't want to spoil everything... so just a taste","Twitter Web Client",FALSE,FALSE,4534,67670,NA
"ArianaGrande.123","1068211781925883904",2018-11-29 18:35:09,"uploading for u as we speak 🖤 https://t.co/hK5B9FemqO","Twitter for iPhone",TRUE,FALSE,2262,28520,"‏ً"
"ArianaGrande.124","1068211441985961989",2018-11-29 18:33:48,"🖤 https://t.co/iET1xLMsH1","Twitter for iPhone",TRUE,FALSE,2047,22444,"aims"
"ArianaGrande.125","1068211353830121472",2018-11-29 18:33:27,"i love u forever https://t.co/Og9jq0DWqj","Twitter for iPhone",TRUE,FALSE,1931,22934,"Victoria Monét"
"ArianaGrande.126","1068207104027123712",2018-11-29 18:16:34,"alright we’ll show u a tiny something today to hold u over til tomorrow #thankunext 🖤 hold on","Twitter for iPhone",FALSE,FALSE,4840,44441,NA
"ArianaGrande.127","1068206954340708352",2018-11-29 18:15:58,"i love u more https://t.co/K2mHfbbJdA","Twitter for iPhone",TRUE,FALSE,2080,24314,"aid"
"ArianaGrande.128","1068204093338935296",2018-11-29 18:04:36,"well, she’s coming tomorrow. but i was thinking of showing you a little sneak peek today. cause i ..... can’t. we won’t spoil too much but .... this whole series got fredo &amp; i were thinking of showing u a tiny bit of behind the scenes stuff. what do u think? #thankunext https://t.co/S9A00420GO","Twitter for iPhone",TRUE,FALSE,4303,38801,"rafael"
"ArianaGrande.129","1068202470805975040",2018-11-29 17:58:09,"jesus christ i'm so happy u like them bc the only audio we could find was from asia when i had bronchitis i been so nervous lmao https://t.co/6iCuiUTEIm","Twitter Web Client",TRUE,FALSE,2375,26941,"marco"
"ArianaGrande.130","1068201784299053056",2018-11-29 17:55:26,"fuck. i love y'all so much.","Twitter Web Client",FALSE,FALSE,28261,236737,NA
"ArianaGrande.131","1068200086750945281",2018-11-29 17:48:41,". https://t.co/l7ywEgAqGz","Twitter Web Client",TRUE,FALSE,2166,23268,"victoria ☼"
"ArianaGrande.132","1068199121809338368",2018-11-29 17:44:51,"🖤 https://t.co/k1togeAscb","Twitter for iPhone",TRUE,FALSE,2061,23339,"wilson"
"ArianaGrande.133","1068198521164128256",2018-11-29 17:42:28,"yee. let us know your fav parts. https://t.co/ZczbydAlkX","Twitter Web Client",TRUE,FALSE,1929,21760,"Alfredo Flores"
"ArianaGrande.134","1068198370798264320",2018-11-29 17:41:52,"even tho everyone might binge watch, we're gonna do this anyway bc i love u and it's fun and we'll pretend no one's seen it u down? https://t.co/JcfbkF2R6j","Twitter Web Client",TRUE,FALSE,2303,24283,"katie"
"ArianaGrande.135","1068197811408187392",2018-11-29 17:39:39,"🖤 https://t.co/uY0oDyIP9X","Twitter for iPhone",TRUE,FALSE,1554,17988,"ʝαzмιи,."
"ArianaGrande.136","1068197702574297088",2018-11-29 17:39:13,"🖤 https://t.co/zFXidezik7","Twitter for iPhone",TRUE,FALSE,1520,17783,"P"
"ArianaGrande.137","1068197627798282240",2018-11-29 17:38:55,"goat https://t.co/VrybEFPg3e","Twitter for iPhone",TRUE,FALSE,1720,19457,"giusy"
"ArianaGrande.138","1068196999093088257",2018-11-29 17:36:25,"🖤 https://t.co/yfAJLnGtnL","Twitter for iPhone",TRUE,FALSE,1631,19062,"bryan"
"ArianaGrande.139","1068196561908187136",2018-11-29 17:34:41,"all of us are crying lmao https://t.co/uXAXGvkLJR","Twitter for iPhone",TRUE,FALSE,1992,21306,"Avonna Idella ♡"
"ArianaGrande.140","1068196475430031360",2018-11-29 17:34:20,"🖤 https://t.co/ZiggoYOsUJ","Twitter for iPhone",TRUE,FALSE,1464,17222,"𝕒𝕣𝕚 // 𝟙𝟡𝟜"
"ArianaGrande.141","1068196167664590849",2018-11-29 17:33:07,"thank u for everything https://t.co/uctTj5NY9M","Twitter Web Client",TRUE,FALSE,1716,19663,"☾ Lisa"
"ArianaGrande.142","1068196048735154176",2018-11-29 17:32:38,"i love u https://t.co/7ep5DbmU5m","Twitter Web Client",TRUE,FALSE,1586,18329,"Bella"
"ArianaGrande.143","1068196000110505985",2018-11-29 17:32:27,"bruh it was so late and i was so cold i'm such a fuckin baby https://t.co/QapCPIc8ts","Twitter Web Client",TRUE,FALSE,1758,19426,"andre"
"ArianaGrande.144","1068195912780902401",2018-11-29 17:32:06,"my brothers https://t.co/qOGxmSUAlO","Twitter Web Client",FALSE,FALSE,1461,16576,NA
